Name,Address,Postcode,Telephone,Notes,Easting,Northing
Tulse Hill Youth and Play Project,Tulse Hill Estate South,SW2 2EY,020 8674 3975,200000490506,531056,173873
Willington Adventure Playground,Willington Road,SW9 9NB,020 7737 7929,100023389720,530362,175527
Loughborough Park Play Project,Moorland Road,SW9 8UA,020 7926 1049,010090198767,531740,175381
Kennington Play Project,Bolton Crescent,SE5 0SE,020 7735 7186,010000444593,531439,177501
Max Roach Play Project,Wiltshire Road,SW9 7NE,020 7274 6693,010090195422,531352,175931
Lollard Street Adventure Playground,Lollard Street,SE11 6PY,020 7582 0208,200000471175,531028,178778
Streatham Vale Play Project,Abercairn Road,SW16 5AL,020 8764 3688,010090198766,529002,169956
Stewarts Road Adventure Playground,Clyston Street,SW8 4TU,020 7498 3330,200000459694,529491,176511
Dexter Road Play Project,Montego Close,SE24 0LH,,200001084384,531375,175093
Triangle Adventure Playground,Ashmole Street,SW8 1NF,020 7733 5718,100023382453,530934,177575
Slade Gardens Adventure Playground,Lorn Road,SW9 0AB,020 7737 3829,010090200994,530940,176424
Blackfriars Play Space,1 Coral Street,SE1 7BE,020 7803 0988,200000490853,531364,179690
Oasis Cycle Project & Adventure Playground,25-61 Priory Grove,SW2 2PD,020 7627 3793,200000477413,530088,176660
Charlie Chaplin Adveture Playground,Bolton Crescent,SE5 0SE,020 7735 1819,010000444593,531559,177457
Grove Adventure Playground,18 Gordon Grove,SE5 9DT,020 7737 0956,200000464829,531838,176103
