Name,TOILETS,Address,Postcode,AREA,Easting,Northing,TELEPHONE,Notes
Aroma Portuguese Deli,Male/Female,"64 Streatham Hill, SW2 4RD",SW2 4RD,Streatham,530410,173071,020 8671 7111,Mon - Sat: 08:00 - 20:00 Sun: Closed
Edenic Creations,Male/Female,5 Station Rise,SE27 9BW,West Norwood,531767,172940,,Mon - Sun: 06:45 - 10:30
Wimpy,Male/Female/Disabled,"160 Streatham High Road, SW16 1BJ",SW16 1BJ,Streatham,530150,172089,020 8769 0484,Mon - Sun: 09:00 - 23:00
Music Bar & Club,Male/Female/Disabled,"144 Brixton Hill, SW2 1SD",SW2 1SD,Brixton,530599,174255,020 8671 0286,Mon - Tue: 12:00 - 00:00 Wed - Thu: 12:00 - 01:00 Fri: 12:00 - 03:00 Sat: 15:00 - 03:00 Sun: Closed
The Hamlet,Male/Female/Baby Changing,10 Streatham High Road,SW16 1DB,Streatham,530249,172647,020 8769 1171,Mon - Thu: 11:00 - 23:00 Fri & Sat: 11:00 - 03:00 Sun: 12:00 - 00:00
Brasserie Toulouse Lautrec,Male/Female,"140 Newington Butts, SE11 4RN",SE11 4RN,Kennington,531768,178611,020 7582 6800,Mon - Sat: 12:00 - 00:00 Sun: 09:00 - 21:00
Starbucks,Male/Female/Disabled/Baby Changing,"Unit 1, 40 - 42 Old Town, SW4 0LB",SW4 0LB,Clapham,529166,175509,020 7627 0641,Mon - Sat: 07:00 - 18:00 Sun: 08:00 - 18:00
Ella's Cafe,Male/Female,"93 Norwood High Street, SE27 9JS",SE27 9JS,West Norwood,532089,171812,020 8670 9791,Mon - Sat: 07:00 - 16:00 Sun: Closed
McDonalds,Male/Female/Baby Changing,"2 - 22 Streatham Place, SW2 4PZ",SW2 4PZ,Streatham,530385,173543,020 8674 3195,Mon - Sun: 07:00 - 00:00
Machico Tapas Bar,Male/Female,"133 South Lambeth Road, SW8 1XB",SW8 1XB,Stockwell,530421,177192,020 7820 0045,Mon - Sun: 08:00 - 23:00
The Fish Club,Male/Female/Disabled,"57 Clapham High Street, SW4 7TG",SW4 7TG,Clapham,529799,175490,020 7720 5853,Mon: 17:00 - 22:00 Tue - Sun: 12:00 - 22:00
McDonalds,Male/Female,"518 - 522 Brixton Road, SW9 8EN",SW9 8EN,Brixton,530979,175279,020 7924 0171,Mon - Sun: 05:00 - 00:00
Oval Tandoori,Male/Female,"64A - 66 Brixton Road, SW9 6BP",SW9 6BP,Kennington,531188,177204,020 7582 1415,Mon - Sun: 12:00 - 14:30 & 18:00 - 00:00
Secondo,Male/Female/Baby Changing,4 Voltaire Road,SW4 6DH,Clapham,529918,175640,020 7720 7059,Mon - Thu: 09:00 - 22:00 Fri & Sat: 09:00 - 01:00 Sun: 09:00 - 20:00
Crown & Cushion,Male/Female,"133 - 135 Westminster Bridge Road, SE1 7HR",SE1 7HR,Waterloo,531006,179522,020 7803 0573,Mon - Sat: 11:00 - 23:00 Sun: 12:00 - 22:30
McDonalds,Male/Female/Disabled/Baby Changing,"130 - 134 Clapham High Street, SW4 7UH",SW4 7UH,Clapham,529613,175420,020 7498 7813,Mon - Thu: 06:00 - 22:00 Fri: 06:00 - 00:00 Sat: 00:00 - 04:00 & 06:00 - 00:00 Sun: 06:00 - 22:00
Little Rock Cafe ,Male/Female,"130 Norwood High Street, SE27 9NH",SE27 9NH,West Norwood,532153,171594,020 8761 5743,Mon - Sat: 06:00 - 15:00 Sun: Closed
Starbucks,Male/Female/Disabled/Baby Changing,"39 Abbeville Road, SW4 9JX",SW4 9JX,Clapham,529311,174443,020 8673 4004,Mon - Sat: 07:00 - 17:30 Sun: 09:00 - 16:30
Nolan's,Male/Female,"33 Wilcox Road, SW8 2XA",SW8 2XA,Vauxhall,530236,177300,020 7622 3106,Mon - Thu: 11:00 - 01:00 Fri - Sat: 11:00 - 02:00 Sun: 12:00 - 00:00 
Walrus Social,Male/Female,"172 Westminster Bridge Road, SE1 7RW",SE1 7RW,Waterloo,530975,179585,020 7928 4368,Mon - Sun: 10:00 - 23:00
Garden Museum,Male/Female/Disabled/Baby Changing,"5 Lambeth Palace Road, SE1 7LB",SE1 7LB,Waterloo,530586,179005,020 7401 8865,Sun - Fri: 10:30 - 17:00 Sat:10:30 - 16:00 
The Corner,Male/Female,"463 Norwood Road, SE27 9DJ",SE27 9DJ,West Norwood,531855,172528,020 8761 6370,Mon - Sun: 11:00 - 00:00
Starbucks,Male/Female/Disabled/Baby Changing,"202 - 204 Clapham High Street, SW4 7UD",SW4 7UD,Clapham,529437,175324,020 7627 0817,Mon - Sat: 07:00 - 20:00 Sun: 07:00 - 19:30
Doghouse,Male/Female,"293 Kennington Road, SE11 6BY",SE11 6BY,Kennington,531258,178382,020 7820 9310,Sun - Thu: 12:00 - 00:00 Fri - Sat: 12:00 - 01:30
The Windmill,Male/Female,"44 Lambeth High Street, SE1 7JS",SE1 7JS,Vauxhall,530576,178803,020 7735 1698,Mon - Sun: 10:30 - 23:00
Cubana Bar & Restaurant,Male/Female/Disabled,"48 Lower Marsh, SE1 7RG",SE1 7RG,Waterloo,531214,179754,020 7928 8778,Mon - Tue: 12:00 - 00:00 Wed - Thu: 12:00 - 01:00 Fri: 12:00 - 03:00 Sat: 15:00 - 03:00 Sun: Closed   
The Nott,Male/Female,"257 Wandsworth Road, SW8 2NB",SW8 2NB,Vauxhall,530044,177189,020 7720 7243,Mon - Sat: 12:00 - 23:00 Sun: 12:00 - 22:30
The Hole In The Wall,Male/Female,"5 Mepham Street, SE1 8SQ",SE1 8SQ,Waterloo,531047,180034,020 7628 6196,Mon - Sat: 11:00 - 23:00 Sun: 12:00 - 22:30
Kurt Anderson Café,Male/Female,"127 Clapham High Street, SW4 7SS",SW4 7SS,Clapham,529623,175374,020 7720 3601,Mon: Closed Tue - Sun: 10:00 - 22:00 
Cherry'N'Berry,Male/Female,"85 Streatham Hill, SW2 4UB",SW2 4UB,Streatham,530359,172804,07792 701 511,Mon - Sun: 11:00 - 23:00
